"","gasDayStart","gasInStorage","full","trend","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"1350","2018-12-31",773.642,69.96,-0.18,809.97,2771.1,1105.8647,11622.19,20210.51,"2018","12-31"
"1351","2018-12-30",775.9112,70.14,-0.14,997.07,2505.3,1106.1755,11693.08,20355.21,"2018","12-30"
"1352","2018-12-29",777.4183,70.28,-0.21,808.51,3104.7,1106.1755,11693.25,20354.77,"2018","12-29"
"1353","2018-12-28",779.7154,70.5,-0.36,516.9,4495.8,1105.9811,11676.14,20035.67,"2018","12-28"
"1354","2018-12-27",783.6983,70.86,-0.38,476.68,4718.2,1105.9811,11675.73,20338.97,"2018","12-27"
"1355","2018-12-26",787.9345,71.24,-0.28,764.37,3873.2,1105.9811,11675.46,20339.66,"2018","12-26"
"1356","2018-12-25",791.0241,71.52,-0.2,993.65,3256.3,1105.9811,11675.2,20340.29,"2018","12-25"
"1357","2018-12-24",793.2882,71.73,-0.24,503.73,3150.4,1105.9811,11674.93,20340.82,"2018","12-24"
"1358","2018-12-23",795.9355,71.96,-0.2,725.98,2913.7,1106.0533,11675.46,20343.69,"2018","12-23"
"1359","2018-12-22",798.1297,72.16,-0.18,955.54,2978,1106.0533,11675.08,20344.76,"2018","12-22"
"1360","2018-12-21",800.1555,72.34,-0.32,633.43,4151.4,1106.0533,11674.51,20346.44,"2018","12-21"
"1361","2018-12-20",803.6299,72.66,-0.49,193.85,5594.4,1106.0533,11673.84,20348.37,"2018","12-20"
"1362","2018-12-19",809.0619,73.15,-0.53,156.53,6013.3,1106.0533,11673.23,20350.19,"2018","12-19"
"1363","2018-12-18",814.9217,73.68,-0.57,216.42,6518.1,1106.0533,11672.54,20352.18,"2018","12-18"
"1364","2018-12-17",821.2256,74.25,-0.59,144.89,6659.4,1106.0533,11671.79,20354.11,"2018","12-17"
"1365","2018-12-16",827.4311,74.81,-0.52,305.28,6001.4,1106.0348,11670.9,20355.76,"2018","12-16"
"1366","2018-12-15",833.4522,75.35,-0.54,203.14,6219,1106.0348,11710.25,19997.78,"2018","12-15"
