"","gasDayStart","gasInStorage","full","trend","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"258","2021-12-31",594.6708,53.54,0.08,2851.08,1960.6,1110.6959,11263.75,19565.16,"2021","12-31"
"259","2021-12-30",593.2263,53.41,-0.02,2606.23,2880,1110.6959,11267.76,19566.35,"2021","12-30"
"260","2021-12-29",593.5261,53.44,-0.11,1942.42,3208.6,1110.6959,11263.62,19565.51,"2021","12-29"
"261","2021-12-28",594.6786,53.54,-0.23,1463.74,4063.2,1110.6959,11263.85,19564.89,"2021","12-28"
"262","2021-12-27",597.3021,53.78,-0.3,1126.4,4442.8,1110.6959,11264.05,19564.35,"2021","12-27"
"263","2021-12-26",600.6305,54.08,-0.34,819.67,4556.6,1110.6955,11263.97,19564.51,"2021","12-26"
"264","2021-12-25",604.3884,54.42,-0.26,1074.54,4003.3,1110.6955,11264.14,19564.06,"2021","12-25"
"265","2021-12-24",607.3582,54.68,-0.34,781.63,4560,1110.6955,11263.8,19564.96,"2021","12-24"
"266","2021-12-23",611.1792,55.03,-0.61,231.58,6990.2,1110.6955,11263.37,19566.11,"2021","12-23"
"267","2021-12-22",617.9384,55.64,-0.77,121.71,8710.2,1110.6955,11263.89,19564.73,"2021","12-22"
"268","2021-12-21",626.6147,56.42,-0.76,143.55,8623.7,1110.6955,11263.41,19566,"2021","12-21"
"269","2021-12-20",635.1185,57.18,-0.68,92.87,7680.8,1110.6955,11262.97,19571.05,"2021","12-20"
"270","2021-12-19",642.7068,57.87,-0.43,299.31,5068.3,1110.6979,11262.71,19572.01,"2021","12-19"
"271","2021-12-18",647.5049,58.3,-0.4,327.37,4756.3,1110.6979,11262.57,19572.4,"2021","12-18"
"272","2021-12-17",651.9942,58.7,-0.48,350.47,5721.2,1110.6979,11249.14,19562.81,"2021","12-17"
"273","2021-12-16",657.3637,59.18,-0.48,426.68,5744.7,1110.6979,11237.82,19488.68,"2021","12-16"
"274","2021-12-15",662.6904,59.66,-0.47,400.5,5624.1,1110.6979,11237.56,19489.38,"2021","12-15"
"275","2021-12-14",667.9534,60.14,-0.49,362.27,5836.1,1110.6979,11237.22,19490.27,"2021","12-14"
"276","2021-12-13",673.4664,60.63,-0.54,470.35,6450.9,1110.6979,11239.88,19501.89,"2021","12-13"
"277","2021-12-12",679.4237,61.17,-0.39,718.73,4999.1,1110.693,11260.42,19577.51,"2021","12-12"
"278","2021-12-11",683.7782,61.56,-0.49,575.42,6024.5,1110.693,11260.28,19577.88,"2021","12-11"
"279","2021-12-10",689.2349,62.05,-0.6,240.74,6876.3,1110.693,11260,19578.71,"2021","12-10"
"280","2021-12-09",695.8642,62.65,-0.65,186.76,7404.2,1110.693,11259.64,19579.66,"2021","12-09"
"281","2021-12-08",703.0594,63.3,-0.6,214.21,6918.9,1110.693,11259.3,19580.57,"2021","12-08"
"282","2021-12-07",709.7803,63.9,-0.6,266.47,6974.4,1110.693,11258.94,19581.5,"2021","12-07"
"283","2021-12-06",716.5147,64.51,-0.63,292.36,7311.3,1110.693,11258.47,19582.75,"2021","12-06"
"284","2021-12-05",723.4815,65.14,-0.46,461.15,5539.2,1110.695,11258.17,19583.76,"2021","12-05"
"285","2021-12-04",728.5462,65.59,-0.45,567.87,5555.8,1110.695,11257.83,19584.67,"2021","12-04"
"286","2021-12-03",733.5586,66.05,-0.57,285.2,6650.4,1110.695,11257.38,19585.85,"2021","12-03"
"287","2021-12-02",739.9745,66.62,-0.6,324.33,7004.6,1110.695,11256.93,19587.04,"2021","12-02"
"288","2021-12-01",746.4893,67.21,-0.51,378.61,6089.4,1110.695,11256.57,19588,"2021","12-01"
"289","2021-11-30",752.7505,67.77,-0.55,170.9,6244.5,1110.695,11256.19,19588.98,"2021","11-30"
"290","2021-11-29",758.8893,68.33,-0.59,172.87,6750,1110.695,11255.83,19589.96,"2021","11-29"
"291","2021-11-28",765.43,68.91,-0.42,458.55,5122,1110.7042,11255.69,19591.37,"2021","11-28"
"292","2021-11-27",770.1326,69.34,-0.42,508.52,5157.3,1110.7042,11255.32,19592.34,"2021","11-27"
"293","2021-11-26",774.8323,69.76,-0.51,212.48,5853.8,1110.7042,11254.94,19593.35,"2021","11-26"
"294","2021-11-25",780.5123,70.27,-0.53,212.47,6086.1,1110.7042,11254.83,19593.65,"2021","11-25"
"295","2021-11-24",786.3682,70.8,-0.53,174.07,6038.2,1110.7042,11254.4,19613.09,"2021","11-24"
"296","2021-11-23",792.4943,71.35,-0.47,175.55,5390,1110.7042,11254.05,19614.02,"2021","11-23"
"297","2021-11-22",797.7316,71.82,-0.41,212.92,4802.2,1110.7042,11253.69,19614.97,"2021","11-22"
"298","2021-11-21",802.2629,72.23,-0.19,690.77,2772.2,1110.6935,11253.34,19614.66,"2021","11-21"
"299","2021-11-20",804.3578,72.42,-0.15,980.89,2624.2,1110.6935,11253.34,19614.68,"2021","11-20"
"300","2021-11-19",806.0253,72.57,-0.2,900.01,3098.6,1110.6935,11253.25,19614.92,"2021","11-19"
"301","2021-11-18",808.255,72.77,-0.29,410.71,3624.5,1110.6935,11253.19,19489.07,"2021","11-18"
"302","2021-11-17",811.4656,73.06,-0.33,367.98,3997.3,1110.6935,11253.13,19489.24,"2021","11-17"
"303","2021-11-16",815.0872,73.39,-0.37,334.66,4496.9,1110.6935,11252.85,19615.95,"2021","11-16"
"304","2021-11-15",819.2739,73.76,-0.34,270.5,4016.5,1110.6935,11252.95,19615.71,"2021","11-15"
"305","2021-11-14",822.8041,74.08,-0.11,1139.48,2396.5,1110.692,11253.25,19614.74,"2021","11-14"
"306","2021-11-13",824.0653,74.19,-0.17,809.87,2713.5,1110.692,11253.52,19614.03,"2021","11-13"
"307","2021-11-12",825.9821,74.37,-0.32,460.72,4046.8,1110.692,11253.59,19613.84,"2021","11-12"
"308","2021-11-11",829.5998,74.69,-0.3,385.33,3683.2,1110.692,11253.52,19614.02,"2021","11-11"
"309","2021-11-10",832.895,74.99,-0.29,337.55,3546.8,1110.692,11253.35,19614.47,"2021","11-10"
"310","2021-11-09",836.1025,75.28,-0.29,289.04,3551.7,1110.692,11253.21,19614.84,"2021","11-09"
"311","2021-11-08",839.3881,75.57,-0.28,420.91,3575.4,1110.692,11253.25,19614.74,"2021","11-08"
"312","2021-11-07",842.4939,75.85,-0.06,1265.75,1900.7,1110.7081,11253.94,19614.76,"2021","11-07"
"313","2021-11-06",843.139,75.91,-0.09,1157.84,2166.1,1110.7081,11254.13,19614.25,"2021","11-06"
"314","2021-11-05",844.1821,76,-0.24,447.59,3123.6,1110.7081,11254.24,19613.97,"2021","11-05"
"315","2021-11-04",846.8543,76.24,-0.26,387.45,3255.8,1110.7081,11252.98,19617.29,"2021","11-04"
"316","2021-11-03",849.7109,76.5,-0.32,287.77,3817.6,1110.7081,11252.96,19617.34,"2021","11-03"
"317","2021-11-02",853.2202,76.82,-0.25,419.73,3247.2,1110.7081,11253.16,19616.81,"2021","11-02"
"318","2021-11-01",856.0462,77.07,-0.03,1380.91,1690.3,1110.7081,11253.62,19615.61,"2021","11-01"
"319","2021-10-31",856.0664,77.07,0.06,1640.23,920.3,1110.7047,11253.98,19610.07,"2021","10-31"
"320","2021-10-30",855.496,76.96,0.04,1491.41,1083,1111.606,11443.27,19898.91,"2021","10-30"
"321","2021-10-29",854.9289,76.97,-0.01,1037.91,1169.5,1110.7047,11256.11,19604.46,"2021","10-29"
"322","2021-10-28",855.1038,76.99,-0.04,875.74,1323.3,1110.7047,11256.51,19603.41,"2021","10-28"
"323","2021-10-27",855.5383,77.03,0.03,1543.03,1260.6,1110.7047,11256.8,19602.64,"2021","10-27"
"324","2021-10-26",855.248,77,-0.08,633.6,1574.2,1110.7047,11256.93,19602.28,"2021","10-26"
"325","2021-10-25",856.2012,77.09,-0.12,545.98,1923.2,1110.7047,11257.1,19601.84,"2021","10-25"
"326","2021-10-24",857.5566,77.21,0.02,1183.32,999,1110.6979,11257.26,19600.63,"2021","10-24"
"327","2021-10-23",857.3678,77.19,-0.02,932.83,1145.1,1110.6979,11257.55,19599.87,"2021","10-23"
"328","2021-10-22",857.61,77.21,-0.06,656.31,1370.2,1110.6979,10867.58,19217.12,"2021","10-22"
"329","2021-10-21",858.3198,77.28,-0.01,1328.82,1475,1110.6979,10867.58,19217.12,"2021","10-21"
"330","2021-10-20",858.1656,77.26,0.13,1953.32,564.7,1110.6979,10867.58,19217.12,"2021","10-20"
"331","2021-10-19",856.793,77.14,0.06,1433.3,789,1110.6979,10867.58,19217.12,"2021","10-19"
"332","2021-10-18",856.1824,77.09,-0.01,1037.81,1133.8,1110.6979,10867.58,19217.12,"2021","10-18"
"333","2021-10-17",856.2072,77.09,0.1,1733.79,671.1,1110.6935,10867.47,19216.91,"2021","10-17"
"334","2021-10-16",855.1818,77,0.08,1534.38,698.7,1110.6935,10867.47,19216.91,"2021","10-16"
"335","2021-10-15",854.3437,76.92,0,949.89,949.8,1110.6935,10867.47,19216.91,"2021","10-15"
"336","2021-10-14",854.3653,76.92,-0.01,1044.51,1117.3,1110.6935,10993.47,19089.91,"2021","10-14"
"337","2021-10-13",854.5013,76.93,-0.05,792.96,1342.5,1110.6935,10993.47,19089.91,"2021","10-13"
"338","2021-10-12",855.197,77,0.01,1038.28,888.1,1110.6935,10993.47,19089.91,"2021","10-12"
"339","2021-10-11",854.6596,76.95,0.04,1348.79,859.5,1110.6935,10993.47,19089.91,"2021","10-11"
"340","2021-10-10",854.6787,76.95,0.17,2330.26,423,1110.6891,10993.37,19089.69,"2021","10-10"
"341","2021-10-09",847.7967,76.33,0.18,2385.81,344.7,1110.6891,10993.37,19079.42,"2021","10-09"
"342","2021-10-08",845.465,76.12,0.11,1605.32,428.2,1110.6891,10993.37,19079.42,"2021","10-08"
"343","2021-10-07",844.286,76.01,0.06,1570.21,898.8,1110.6891,10993.37,19079.42,"2021","10-07"
"344","2021-10-06",843.6738,75.96,0.11,1828.77,613.4,1110.6891,10993.37,19079.42,"2021","10-06"
"345","2021-10-05",842.4809,75.85,0.17,2415.5,481.5,1110.6891,10993.37,19079.42,"2021","10-05"
"346","2021-10-04",840.0713,75.64,0.17,2228.73,386.9,1110.6891,10993.37,19079.42,"2021","10-04"
"347","2021-10-03",838.1851,75.47,0.28,3396.89,246.4,1110.6808,10993.16,19079.01,"2021","10-03"
"348","2021-10-02",834.8228,75.16,0.27,3262.44,259.1,1110.6808,10993.16,19079.01,"2021","10-02"
"349","2021-10-01",832.1944,74.93,0.2,2744.17,524.3,1110.6808,11383.63,19460.45,"2021","10-01"
"350","2021-09-30",829.7635,74.71,0.26,3224.54,337.8,1110.7188,11408.12,19435.17,"2021","09-30"
"351","2021-09-29",827.0159,74.52,0.25,3101.02,318.4,1109.742,11408.57,19433.96,"2021","09-29"
