"","gasDayStart","gasInStorage","full","trend","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"3176","2013-12-31",643.7651,69.38,-0.16,412.31,1863.1,927.8737,8600.68,15955.85,"2013","12-31"
"3177","2013-12-30",645.2602,69.54,-0.18,357.33,2026.1,927.9057,8735.7,15957.2,"2013","12-30"
"3178","2013-12-29",645.794,69.6,-0.11,507.48,1561,927.83,8758.32,15955.63,"2013","12-29"
"3179","2013-12-28",646.8131,69.72,-0.1,578.75,1472,927.7732,8769.2,15954.45,"2013","12-28"
"3180","2013-12-27",647.7181,69.81,-0.1,779.58,1715.3,927.8306,8769.73,15955.64,"2013","12-27"
"3181","2013-12-26",648.7559,69.91,-0.08,1038.41,1744.2,927.9352,8770.75,15957.82,"2013","12-26"
"3182","2013-12-25",649.4529,69.99,-0.04,1100.57,1491.7,927.9363,8770.72,15957.84,"2013","12-25"
"3183","2013-12-24",649.8382,70.03,-0.1,795.84,1698.5,927.9364,8770.68,15957.84,"2013","12-24"
"3184","2013-12-23",650.7315,70.13,-0.18,520.28,2190.3,927.9376,8770.65,15957.87,"2013","12-23"
"3185","2013-12-22",652.4118,70.31,-0.18,567.79,2223.4,927.9388,8770.63,15957.89,"2013","12-22"
"3186","2013-12-21",654.0867,70.49,-0.22,539.7,2577.7,927.9395,8770.63,15905.97,"2013","12-21"
"3187","2013-12-20",656.1536,70.71,-0.37,157.37,3605.7,927.94,8770.65,15931.78,"2013","12-20"
"3188","2013-12-19",659.6291,71.09,-0.41,190.87,3964.2,927.94,8770.69,15948.98,"2013","12-19"
"3189","2013-12-18",663.2059,71.47,-0.42,237.55,4096.3,927.9399,8770.74,15957.91,"2013","12-18"
"3190","2013-12-17",667.0785,71.89,-0.44,151.98,4224.6,927.9436,8770.84,15957.99,"2013","12-17"
"3191","2013-12-16",671.1442,72.33,-0.36,274.62,3632.4,927.9472,8770.95,15958.07,"2013","12-16"
"3192","2013-12-15",674.5029,72.69,-0.26,426.15,2809.2,927.9473,8771.02,15958.07,"2013","12-15"
"3193","2013-12-14",676.8981,72.95,-0.32,329.77,3262.4,927.9478,8771.09,15958.08,"2013","12-14"
"3194","2013-12-13",679.9136,73.27,-0.5,138.08,4803.7,927.9485,8771.16,15958.09,"2013","12-13"
"3195","2013-12-12",684.5749,73.77,-0.51,193.38,4936.1,927.9479,8771.23,15958.08,"2013","12-12"
"3196","2013-12-11",689.3774,74.29,-0.5,146.24,4768.4,927.9482,8771.28,15958.09,"2013","12-11"
"3197","2013-12-10",693.9624,74.78,-0.46,211.28,4446,927.947,8666.89,15958.06,"2013","12-10"
"3198","2013-12-09",698.2628,75.25,-0.47,206.79,4543.1,927.9465,8631.81,15958.05,"2013","12-09"
"3199","2013-12-08",702.5795,75.71,-0.29,475.85,3151,927.9474,8745.09,15958.07,"2013","12-08"
"3200","2013-12-07",705.2517,76,-0.38,250.84,3740.6,927.9475,8714.96,15958.07,"2013","12-07"
"3201","2013-12-06",708.7856,76.38,-0.5,125.49,4797.6,927.9486,8533.26,15956.14,"2013","12-06"
"3202","2013-12-05",713.4184,76.88,-0.49,138.71,4726.3,927.9479,8533.35,15877.4,"2013","12-05"
"3203","2013-12-04",718.1221,77.39,-0.54,168.89,5179.2,927.9478,8533.46,15891.47,"2013","12-04"
"3204","2013-12-03",723.1144,77.93,-0.52,126.29,4947.7,927.9481,8533.58,15865.04,"2013","12-03"
"3205","2013-12-02",727.8649,78.44,-0.45,166.38,4331.1,927.9488,8533.69,15891.43,"2013","12-02"
"3206","2013-12-01",731.9659,78.88,-0.28,407.64,2991.4,927.9475,8533.74,15947.08,"2013","12-01"
"3207","2013-11-30",734.5534,79.16,-0.29,446.42,3091.3,927.9479,8750.65,15958.08,"2013","11-30"
"3208","2013-11-29",737.1664,79.44,-0.44,262.21,4388.8,927.9531,8772.28,15958.19,"2013","11-29"
"3209","2013-11-28",741.3169,79.89,-0.55,92.98,5153.8,927.95,8772.36,15958.12,"2013","11-28"
"3210","2013-11-27",746.3969,80.44,-0.55,84.58,5158.4,927.948,8745.04,15958.08,"2013","11-27"
"3211","2013-11-26",751.4936,80.98,-0.53,113.06,5031.6,927.9472,8567.13,15958.07,"2013","11-26"
"3212","2013-11-25",756.4229,81.52,-0.44,131.05,4190.7,927.9477,8534.28,15764.61,"2013","11-25"
"3213","2013-11-24",760.399,81.94,-0.19,250.41,2031.4,927.9491,8534.29,15788.66,"2013","11-24"
"3214","2013-11-23",762.1816,82.14,-0.22,187.17,2261,927.9483,8534.28,15719.76,"2013","11-23"
"3215","2013-11-22",764.3101,82.37,-0.36,103.05,3475.9,927.9477,8534.28,15719.74,"2013","11-22"
"3216","2013-11-21",767.6742,82.73,-0.4,98.54,3775.9,927.9467,8534.27,15719.72,"2013","11-21"
"3217","2013-11-20",771.3816,83.13,-0.31,179.01,3011.1,927.9448,8534.25,15719.68,"2013","11-20"
"3218","2013-11-19",774.1973,83.43,-0.28,181.11,2811.2,927.9437,8534.24,15719.66,"2013","11-19"
"3219","2013-11-18",776.7555,83.71,-0.25,261.44,2599.2,927.9428,8534.23,15719.64,"2013","11-18"
"3220","2013-11-17",779.1015,83.96,-0.16,250.08,1719.4,927.9424,8534.22,15719.63,"2013","11-17"
"3221","2013-11-16",780.6034,84.12,-0.17,262.66,1826.4,927.94,8534.2,15755.34,"2013","11-16"
"3222","2013-11-15",782.18,84.29,-0.25,159.78,2472.7,927.9388,8534.19,15755.32,"2013","11-15"
"3223","2013-11-14",784.4831,84.54,-0.19,185.95,1979.8,927.9292,8534.09,15719.36,"2013","11-14"
"3224","2013-11-13",786.2763,84.74,-0.18,176.46,1842.2,927.9117,8533.91,15719,"2013","11-13"
"3225","2013-11-12",787.857,84.91,-0.16,236.24,1711.2,927.9207,8534,15719.18,"2013","11-12"
"3226","2013-11-11",789.3162,85.07,-0.11,267.32,1325.5,927.8944,8533.74,15718.64,"2013","11-11"
"3227","2013-11-10",790.3836,85.19,-0.02,597,751.1,927.8394,8533.18,15717.49,"2013","11-10"
"3228","2013-11-09",790.5933,85.2,0.03,783.68,484.2,927.8934,8533.73,15718.61,"2013","11-09"
"3229","2013-11-08",790.3474,85.18,-0.02,546.44,688.4,927.8968,8533.76,15718.69,"2013","11-08"
"3230","2013-11-07",790.5061,85.2,-0.01,578.35,646,927.8702,8533.49,15718.13,"2013","11-07"
"3231","2013-11-06",790.3997,85.2,-0.09,350.44,1151.8,927.7528,8532.3,15715.69,"2013","11-06"
"3232","2013-11-05",791.1187,85.28,-0.1,316.5,1215,927.7084,8531.85,15714.77,"2013","11-05"
"3233","2013-11-04",791.9234,85.36,-0.06,425.99,1025.6,927.7087,8531.86,15768.11,"2013","11-04"
"3234","2013-11-03",792.6442,85.44,0.06,858.99,344.2,927.7739,8532.52,15732.06,"2013","11-03"
