"","gasDayStart","gasInStorage","full","trend","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"623","2020-12-31",825.2586,74.06,-0.46,292.01,5425.3,1114.2422,11071.56,19446.16,"2020","12-31"
"624","2020-12-30",843.914,74.73,-0.53,279.18,6234.8,1129.3385,11879.62,20420.11,"2020","12-30"
"625","2020-12-29",849.8126,75.25,-0.51,293.29,5998.9,1129.3385,11878.69,20422.58,"2020","12-29"
"626","2020-12-28",855.6459,75.77,-0.51,302.05,6029.8,1129.3385,11891.5,20421.11,"2020","12-28"
"627","2020-12-27",861.3851,76.27,-0.38,454.11,4692,1129.3385,11890.65,20423.4,"2020","12-27"
"628","2020-12-26",865.6251,76.65,-0.29,753.56,4042.4,1129.3385,11889.81,20425.59,"2020","12-26"
"629","2020-12-25",868.9007,76.94,-0.25,744.74,3524.2,1129.3385,11889.14,20427.32,"2020","12-25"
"630","2020-12-24",872.1754,77.23,-0.19,801.03,2932.6,1129.3385,11896.1,20429.54,"2020","12-24"
"631","2020-12-23",874.4176,77.43,-0.24,912.84,3569.6,1129.2621,11895.93,20432.37,"2020","12-23"
"632","2020-12-22",876.9539,77.65,-0.33,561.47,4269.6,1129.3385,11889.23,20434.23,"2020","12-22"
"633","2020-12-21",880.6406,77.98,-0.39,489.07,4862.1,1129.3385,11888.38,20436.45,"2020","12-21"
"634","2020-12-20",884.9874,78.36,-0.27,850.54,3949.6,1129.3385,11907.87,20437.81,"2020","12-20"
"635","2020-12-19",888.0855,78.64,-0.24,978.91,3720.5,1129.3385,11907.25,20439.44,"2020","12-19"
"636","2020-12-18",890.8143,78.88,-0.37,673.86,4803,1129.3385,11906.1,20425.19,"2020","12-18"
"637","2020-12-17",894.9166,79.24,-0.42,333.1,5077.4,1129.3385,11910.24,20427.47,"2020","12-17"
"638","2020-12-16",899.6555,79.66,-0.43,308.58,5180.5,1129.3385,11908.89,20431.03,"2020","12-16"
"639","2020-12-15",904.6404,80.11,-0.46,325.34,5474,1129.2621,11907.87,20433.73,"2020","12-15"
"640","2020-12-14",910.2016,80.53,-0.45,284.49,5394.6,1130.2903,11906.99,20436.06,"2020","12-14"
"641","2020-12-13",915.1774,80.98,-0.36,605.26,4673.2,1130.144,11911.86,20434.24,"2020","12-13"
"642","2020-12-12",919.246,81.34,-0.45,373.99,5506.9,1130.144,11905.41,20436.22,"2020","12-12"
"643","2020-12-11",924.3806,81.79,-0.6,221.86,7000.6,1130.144,11904.05,20454.11,"2020","12-11"
"644","2020-12-10",931.165,82.39,-0.67,224.31,7782.3,1130.144,11902.86,20358.24,"2020","12-10"
"645","2020-12-09",938.4535,83.04,-0.67,170.29,7776.1,1130.144,11901.71,20361.29,"2020","12-09"
"646","2020-12-08",946.4395,83.75,-0.56,236.12,6584,1130.144,11900.7,20363.95,"2020","12-08"
"647","2020-12-07",952.7923,84.31,-0.59,274.52,6974.2,1130.144,11899.61,20366.81,"2020","12-07"
"648","2020-12-06",959.518,84.9,-0.44,491.26,5418.2,1130.144,11865.55,20374.62,"2020","12-06"
"649","2020-12-05",964.4615,85.34,-0.46,482.97,5699,1130.144,11864.31,20377.89,"2020","12-05"
"650","2020-12-04",969.3845,85.78,-0.59,276.46,6926.7,1130.144,11863.09,20381.13,"2020","12-04"
"651","2020-12-03",976.0299,86.36,-0.64,213.83,7495.7,1130.144,11862.17,20383.55,"2020","12-03"
"652","2020-12-02",983.3839,87.01,-0.67,215.62,7805.6,1130.144,11861.39,20385.62,"2020","12-02"
"653","2020-12-01",990.9404,87.68,-0.64,196.55,7427.3,1130.144,11860.45,20388.09,"2020","12-01"
"654","2020-11-30",997.4908,88.29,-0.6,345.95,7142.2,1129.803,11860.51,20515.93,"2020","11-30"
"655","2020-11-29",1003.6554,88.83,-0.44,444.68,5442.7,1129.803,11859.72,20519.02,"2020","11-29"
"656","2020-11-28",1008.657,89.28,-0.42,238.55,5034.4,1129.803,11858.94,20522.08,"2020","11-28"
"657","2020-11-27",1013.585,89.71,-0.52,184.31,6083.8,1129.803,11853.1,20524.18,"2020","11-27"
"658","2020-11-26",1019.4847,90.24,-0.52,115.61,5982.1,1129.803,11852.01,20527.06,"2020","11-26"
"659","2020-11-25",1025.3521,90.75,-0.48,143.36,5526.7,1129.803,11851.36,20528.78,"2020","11-25"
"660","2020-11-24",1030.7424,91.23,-0.39,272.97,4688.5,1129.803,11851.01,20529.7,"2020","11-24"
"661","2020-11-23",1035.1747,91.62,-0.35,250.19,4228,1129.803,11851.08,20529.51,"2020","11-23"
"662","2020-11-22",1039.1806,91.98,-0.23,509.14,3129,1129.803,11850.94,20529.88,"2020","11-22"
"663","2020-11-21",1041.8231,92.21,-0.2,598.22,2874.5,1129.803,11850.88,20530.06,"2020","11-21"
"664","2020-11-20",1044.1079,92.42,-0.3,444.46,3844.2,1129.803,11850.57,20490.86,"2020","11-20"
"665","2020-11-19",1047.5704,92.72,-0.2,495.55,2778.4,1129.803,11826.51,20405.35,"2020","11-19"
"666","2020-11-18",1049.8288,92.92,-0.11,882.94,2156.3,1129.803,11826.67,20404.92,"2020","11-18"
"667","2020-11-17",1051.1012,93.03,-0.15,492.87,2237.2,1129.803,11826.66,20404.95,"2020","11-17"
"668","2020-11-16",1052.844,93.19,-0.14,456.1,2073.8,1129.803,11826.76,20490.38,"2020","11-16"
"669","2020-11-15",1054.4501,93.33,0.03,1484.36,1175,1129.803,11851.07,20489.56,"2020","11-15"
