"","month","Mean"
"157","06-05",50.1022222222222
"158","06-06",50.4666666666667
"159","06-07",50.8288888888889
"160","06-08",51.1911111111111
"161","06-09",51.5133333333333
"162","06-10",51.8622222222222
"163","06-11",52.2133333333333
"164","06-12",52.5711111111111
"165","06-13",52.9444444444444
"166","06-14",53.31
"167","06-15",53.6466666666667
"168","06-16",53.9822222222222
"169","06-17",54.32
"170","06-18",54.6633333333333
"171","06-19",54.9855555555556
"172","06-20",55.3244444444444
"173","06-21",55.6633333333333
"174","06-22",55.9244444444444
"175","06-23",56.2566666666667
"176","06-24",56.5844444444444
"177","06-25",56.9922222222222
"178","06-26",57.3377777777778
"179","06-27",57.6533333333333
"180","06-28",58.0066666666667
"181","06-29",58.3766666666667
"182","06-30",58.7122222222222
"183","07-01",59.0322222222222
"184","07-02",59.3777777777778
"185","07-03",59.7711111111111
"186","07-04",60.1333333333333
"187","07-05",60.5211111111111
"188","07-06",60.88
"189","07-07",61.2133333333333
"190","07-08",61.5488888888889
"191","07-09",61.8977777777778
"192","07-10",62.2133333333333
"193","07-11",62.5477777777778
"194","07-12",62.8944444444444
"195","07-13",63.2366666666667
"196","07-14",63.5922222222222
"197","07-15",63.9044444444444
"198","07-16",64.2288888888889
"199","07-17",64.5288888888889
"200","07-18",64.84
"201","07-19",65.1566666666667
"202","07-20",65.4866666666667
"203","07-21",65.8044444444444
"204","07-22",66.1211111111111
"205","07-23",66.4544444444444
"206","07-24",66.7844444444444
"207","07-25",67.1177777777778
"208","07-26",67.4833333333333
"209","07-27",67.8422222222222
"210","07-28",68.2166666666667
"211","07-29",68.5522222222222
"212","07-30",68.9188888888889
"213","07-31",69.2644444444445
"214","08-01",69.6466666666667
"215","08-02",69.9944444444444
"216","08-03",70.3622222222222
"217","08-04",70.7244444444444
"218","08-05",71.0544444444444
"219","08-06",71.4233333333333
"220","08-07",71.7966666666667
"221","08-08",72.2066666666667
"222","08-09",72.5955555555555
"223","08-10",72.9344444444445
"224","08-11",73.2877777777778
"225","08-12",73.6444444444444
"226","08-13",73.9744444444444
"227","08-14",74.3377777777778
"228","08-15",74.7122222222222
"229","08-16",75.0755555555556
"230","08-17",75.4266666666667
"231","08-18",75.7777777777778
"232","08-19",76.1233333333333
"233","08-20",76.4566666666667
"234","08-21",76.79
