"","gasDayStart","gasInStorage","full","trend","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"2811","2014-12-31",736.3745,75.22,-0.57,163.05,5775.9,978.9584,9157.55,17036.82,"2014","12-31"
"2812","2014-12-30",742.0038,75.84,-0.65,138.34,6468,978.4355,9147.01,17035.89,"2014","12-30"
"2813","2014-12-29",748.291,76.48,-0.69,111.56,6905.5,978.4356,9070.7,17015.55,"2014","12-29"
"2814","2014-12-28",755.0819,77.17,-0.55,200.01,5603.6,978.436,9071.13,17035.9,"2014","12-28"
"2815","2014-12-27",760.4785,77.72,-0.46,240.26,4714.8,978.4366,9071.11,17035.92,"2014","12-27"
"2816","2014-12-26",764.9453,78.18,-0.33,329.27,3561.5,978.4379,9091.9,17035.94,"2014","12-26"
"2817","2014-12-25",768.1072,78.5,-0.23,377.82,2587.9,978.4382,9124.54,17035.95,"2014","12-25"
"2818","2014-12-24",770.2699,78.72,-0.22,550.03,2674.1,978.4386,9234.87,17035.96,"2014","12-24"
"2819","2014-12-23",772.4124,78.94,-0.28,402.29,3129.2,978.439,9284.16,17035.97,"2014","12-23"
"2820","2014-12-22",775.1026,79.22,-0.36,326.27,3838.4,978.433,9262.01,17035.84,"2014","12-22"
"2821","2014-12-21",778.6007,79.58,-0.31,289.21,3288.8,978.4335,9262.01,17035.85,"2014","12-21"
"2822","2014-12-20",781.5828,79.88,-0.31,277.69,3275.9,978.4335,9274.17,17035.85,"2014","12-20"
"2823","2014-12-19",784.6015,80.19,-0.32,393.24,3519.1,978.4338,9262.01,17035.86,"2014","12-19"
"2824","2014-12-18",787.7647,80.51,-0.35,177.97,3645.6,978.4345,9262.02,17035.87,"2014","12-18"
"2825","2014-12-17",791.2114,80.87,-0.46,162.43,4622.2,978.4324,9262,17035.83,"2014","12-17"
"2826","2014-12-16",795.7054,81.32,-0.45,108.8,4479.5,978.4322,9262,17035.83,"2014","12-16"
"2827","2014-12-15",800.1057,81.77,-0.5,78.8,4990.3,978.4326,9262,17035.83,"2014","12-15"
"2828","2014-12-14",805.0182,82.28,-0.35,177.93,3577.4,978.433,9262.01,17005.19,"2014","12-14"
"2829","2014-12-13",808.4123,82.62,-0.37,158.31,3735.4,978.4331,9262.01,17005.2,"2014","12-13"
"2830","2014-12-12",811.9819,82.99,-0.47,108.7,4684.7,978.4345,9262.02,17005.22,"2014","12-12"
