"","gasDayStart","gasInStorage","full","trend","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"985","2019-12-31",993.2578,88.36,-0.28,476.97,3624.2,1124.0842,11742.58,20384.9,"2019","12-31"
"986","2019-12-30",996.4021,88.64,-0.3,387.36,3751.5,1124.0842,11742.29,20385.66,"2019","12-30"
"987","2019-12-29",999.8332,88.95,-0.23,550.77,3114.3,1124.0803,11742.05,20386.07,"2019","12-29"
"988","2019-12-28",1002.3883,89.17,-0.18,673.88,2643.4,1124.0803,11741.91,20386.43,"2019","12-28"
"989","2019-12-27",1004.4366,89.36,-0.15,692.21,2333.4,1124.0803,11741.78,20386.77,"2019","12-27"
"990","2019-12-26",1006.1545,89.51,-0.04,1016.18,1439.5,1124.0803,11741.86,20386.55,"2019","12-26"
"991","2019-12-25",1006.6114,89.55,0.01,1152.66,1032.4,1124.0803,11741.98,20386.23,"2019","12-25"
"992","2019-12-24",1006.5244,89.54,0,1338.81,1299.5,1124.0803,11742.08,20385.97,"2019","12-24"
"993","2019-12-23",1006.4793,89.54,-0.03,1204.87,1509.3,1124.0803,11742.12,20385.87,"2019","12-23"
"994","2019-12-22",1006.5189,89.54,0.03,1620.36,1285.8,1124.0822,11742.31,20385.5,"2019","12-22"
"995","2019-12-21",1006.1687,89.51,0.03,1486.88,1193.8,1124.0822,11742.49,20385.02,"2019","12-21"
"996","2019-12-20",1005.8597,89.48,-0.06,987.51,1619.8,1124.0822,11742.53,20384.92,"2019","12-20"
"997","2019-12-19",1006.498,89.54,-0.07,1074.91,1853.5,1124.0822,11742.82,20384.14,"2019","12-19"
"998","2019-12-18",1007.2708,89.61,-0.18,498,2535,1124.0822,11742.74,20384.37,"2019","12-18"
"999","2019-12-17",1009.3188,89.84,-0.22,611.2,3051,1123.4647,11742.71,20384.45,"2019","12-17"
"1000","2019-12-16",1011.7578,90.06,-0.25,460.08,3296.3,1123.4617,11742.71,20384.43,"2019","12-16"
"1001","2019-12-15",1014.6248,90.31,-0.11,1070.63,2339.5,1123.4598,11742.7,20384.34,"2019","12-15"
"1002","2019-12-14",1015.8954,90.43,-0.15,839.37,2529.2,1123.4598,11742.76,20384.17,"2019","12-14"
"1003","2019-12-13",1017.5796,90.58,-0.34,399.5,4199.2,1123.4598,11742.61,20384.57,"2019","12-13"
"1004","2019-12-12",1021.4003,90.92,-0.44,298.88,5192.8,1123.4421,11742.28,20385.45,"2019","12-12"
"1005","2019-12-11",1026.3418,91.36,-0.41,263.23,4918.4,1123.4421,11741.88,20386.51,"2019","12-11"
"1006","2019-12-10",1031.0294,91.77,-0.35,341.81,4244,1123.4421,11741.63,20387.17,"2019","12-10"
"1007","2019-12-09",1034.921,92.12,-0.27,526.44,3585.1,1123.4421,11741.48,20387.56,"2019","12-09"
"1008","2019-12-08",1037.9602,92.39,-0.02,1628.72,1828.5,1123.4499,11741.93,20386.87,"2019","12-08"
"1009","2019-12-07",1038.1311,92.41,-0.13,1048.96,2532.6,1123.4499,11742.04,20386.57,"2019","12-07"
"1010","2019-12-06",1039.6182,92.54,-0.32,523.09,4133.4,1123.4499,11741.61,20387.73,"2019","12-06"
"1011","2019-12-05",1042.6767,92.81,-0.39,252.71,4688.7,1123.4499,11742.54,20385.25,"2019","12-05"
"1012","2019-12-04",1047.1295,93.21,-0.37,356.72,4492,1123.4499,11742.21,20386.14,"2019","12-04"
"1013","2019-12-03",1051.2648,93.57,-0.32,431,3976.6,1123.4499,11742.1,20386.43,"2019","12-03"
"1014","2019-12-02",1054.8192,93.89,-0.33,213.17,3881.9,1123.4499,11741.61,20387.72,"2019","12-02"
"1015","2019-12-01",1058.619,94.23,-0.17,601.8,2484.1,1123.4617,11741.72,20388.17,"2019","12-01"
"1016","2019-11-30",1058.2302,94.2,-0.13,600.11,2106.5,1123.3567,11741.84,20350.54,"2019","11-30"
"1017","2019-11-29",1061.1071,94.46,-0.1,553.56,1720.9,1123.3567,11741.68,20350.95,"2019","11-29"
"1018","2019-11-28",1061.7021,94.51,-0.03,989.29,1358.8,1123.3567,11741.78,20350.7,"2019","11-28"
"1019","2019-11-27",1062.0661,94.54,-0.05,1215.26,1826.3,1123.3567,11742.21,20349.55,"2019","11-27"
"1020","2019-11-26",1062.6582,94.6,-0.07,958.96,1730.6,1123.3542,11766.79,20350.68,"2019","11-26"
