"","month","Max"
"291","10-17",97.47
"292","10-18",97.47
"293","10-19",97.57
"294","10-20",97.54
"295","10-21",97.56
"296","10-22",97.55
"297","10-23",97.5
"298","10-24",97.54
"299","10-25",97.59
"300","10-26",97.65
"301","10-27",97.84
"302","10-28",97.84
"303","10-29",97.73
"304","10-30",97.63
"305","10-31",97.27
"306","11-01",97.32
"307","11-02",97.46
"308","11-03",97.58
"309","11-04",97.62
"310","11-05",97.6
"311","11-06",97.57
"312","11-07",97.55
"313","11-08",97.48
"314","11-09",97.47
"315","11-10",97.45
"316","11-11",97.33
"317","11-12",97.16
"318","11-13",96.97
"319","11-14",96.76
"320","11-15",96.62
"321","11-16",96.49
"322","11-17",96.39
"323","11-18",96.15
"324","11-19",95.83
"325","11-20",95.4
"326","11-21",95.04
"327","11-22",94.83
"328","11-23",94.81
"329","11-24",94.8
"330","11-25",94.67
"331","11-26",94.6
"332","11-27",94.54
"333","11-28",94.51
"334","11-29",94.46
"335","11-30",94.2
"336","12-01",94.23
"337","12-02",93.89
"338","12-03",93.57
"339","12-04",93.21
"340","12-05",92.81
"341","12-06",92.54
"342","12-07",92.41
"343","12-08",92.39
"344","12-09",92.12
"345","12-10",91.77
"346","12-11",91.36
"347","12-12",90.92
"348","12-13",90.58
"349","12-14",90.43
"350","12-15",90.31
"351","12-16",90.06
"352","12-17",89.84
"353","12-18",89.61
"354","12-19",89.54
"355","12-20",89.48
"356","12-21",89.51
"357","12-22",89.54
"358","12-23",89.54
"359","12-24",89.54
"360","12-25",89.55
"361","12-26",89.51
"362","12-27",89.36
"363","12-28",89.17
"364","12-29",88.95
"365","12-30",88.64
"366","12-31",88.36
