"","gasDayStart","gasInStorage","full","trend","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"2446","2015-12-31",740.6213,70.07,-0.31,269.99,3518.2,1057.0412,10121,18510.55,"2015","12-31"
"2447","2015-12-30",738.8477,70.26,-0.29,419.5,3434.9,1051.5528,9838.89,18068.07,"2015","12-30"
"2448","2015-12-29",742.0111,70.56,-0.3,482.84,3600.4,1051.547,9839,18085.99,"2015","12-29"
"2449","2015-12-28",745.103,70.86,-0.26,532.42,3242.3,1051.496,9878.77,18090.23,"2015","12-28"
"2450","2015-12-27",747.7706,71.12,-0.14,836.15,2289.1,1051.4144,9927.42,18087.52,"2015","12-27"
"2451","2015-12-26",749.222,71.26,-0.07,1061.38,1846.8,1051.4301,10030.31,18086.72,"2015","12-26"
"2452","2015-12-25",750.0362,71.33,-0.1,830.48,1903.7,1051.4769,10031.19,18086.62,"2015","12-25"
"2453","2015-12-24",751.1612,71.43,-0.14,631.53,2114.3,1051.5402,10032.19,18086.99,"2015","12-24"
"2454","2015-12-23",752.6283,71.57,-0.2,545.2,2629.7,1051.5443,10032.48,18086.4,"2015","12-23"
"2455","2015-12-22",754.7151,71.77,-0.2,596.95,2716,1051.5501,10032.79,18085.88,"2015","12-22"
"2456","2015-12-21",756.8229,71.97,-0.24,574.73,3137.5,1051.5556,10033.08,18085.36,"2015","12-21"
"2457","2015-12-20",759.3966,72.22,-0.12,1017.83,2229.8,1051.5584,10033.53,18084.3,"2015","12-20"
"2458","2015-12-19",760.5874,72.33,-0.13,1137.06,2483.2,1051.5576,10033.94,18083.2,"2015","12-19"
"2459","2015-12-18",761.9346,72.46,-0.25,579.93,3243.1,1051.5632,10034.19,18082.79,"2015","12-18"
"2460","2015-12-17",764.5983,72.71,-0.27,442.48,3312.8,1051.5583,10034.49,18081.78,"2015","12-17"
"2461","2015-12-16",767.4583,72.98,-0.37,174.24,4048.4,1051.5493,9987.36,18081.67,"2015","12-16"
"2462","2015-12-15",771.302,73.35,-0.43,152.32,4649.6,1051.4975,9841.96,18062.86,"2015","12-15"
"2463","2015-12-14",775.6698,73.78,-0.44,96.37,4715.2,1051.3352,9839.66,17920.56,"2015","12-14"
"2464","2015-12-13",780.2947,74.22,-0.31,144.36,3364.4,1051.3353,9839.47,17910.81,"2015","12-13"
"2465","2015-12-12",783.5198,74.53,-0.33,148.62,3573.3,1051.3366,9839.18,17870.45,"2015","12-12"
"2466","2015-12-11",786.9392,74.85,-0.45,83.25,4763.7,1051.3347,9838.61,17844.75,"2015","12-11"
"2467","2015-12-10",791.5445,75.29,-0.43,103.55,4656.8,1051.335,9838.04,17846.26,"2015","12-10"
"2468","2015-12-09",796.0446,75.72,-0.36,153.19,3889.3,1051.3386,9837.81,17847,"2015","12-09"
"2469","2015-12-08",799.8134,76.07,-0.29,229.15,3230.3,1051.4004,9838.4,17848.3,"2015","12-08"
"2470","2015-12-07",802.8395,76.36,-0.27,361.2,3181.6,1051.4272,9838.59,17931.74,"2015","12-07"
"2471","2015-12-06",805.6804,76.63,-0.2,481.99,2633.6,1051.4491,9838.87,18051.9,"2015","12-06"
"2472","2015-12-05",807.9263,76.83,-0.24,346.65,2882.8,1051.5682,9941.51,18089.79,"2015","12-05"
"2473","2015-12-04",810.4526,77.07,-0.32,219.98,3626.3,1051.5684,9923.19,18089.72,"2015","12-04"
"2474","2015-12-03",813.864,77.4,-0.37,218.22,4129.3,1051.5697,9914.73,18090.24,"2015","12-03"
"2475","2015-12-02",817.7279,77.76,-0.35,219.73,3879.1,1051.5719,9938.39,18090.36,"2015","12-02"
"2476","2015-12-01",821.3827,78.11,-0.36,157.16,3895.5,1051.5719,9900.09,18090.85,"2015","12-01"
"2477","2015-11-30",825.1643,78.47,-0.45,114,4804.9,1051.5723,9881.51,18099.63,"2015","11-30"
